"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-10","09","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1252","1180","1175","90.76%","36.70%","46.99%","15.06","65.05%","9.74","10136.74","42.37%","86.63%"
"2017-02-08","00","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","1244","1180","1175","89.06%","21.07%","25.50%","25.09","45.16%","11.29","11118.41","28.30%","74.44%"
"2017-02-21","05","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","1205","1179","1174","95.32%","23.40%","39.77%","15.85","55.88%","8.82","9702.14","26.52%","88.24%"
"2017-02-09","21","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","1237","1185","1174","89.96%","24.64%","31.27%","20.06","52.01%","10.37","10410.77","31.81%","77.46%"
"2017-02-24","12","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1250","1181","1173","89.23%","37.51%","49.60%","15.05","66.35%","9.91","10022.32","44.66%","83.99%"
"2017-02-02","00","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","1172","1172","1172","90.51%","14.29%","21.88%","25.05","40.82%","10.11","10117.67","19.62%","72.81%"
"2017-02-23","11","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1228","1176","1171","88.36%","35.01%","44.80%","15.05","64.10%","9.67","9686.25","43.30%","80.86%"
"2017-02-11","09","","8411425232","Old Spice Perú YT IO 22232","731224205","IO22232_PE_Old Spice_Citron_GO_YT_Jan-Jun_CPV_POME_FY1617_InStream_Machu Pichu","154497041909","Machu Pichu","1258","1182","1171","90.39%","23.75%","32.74%","22.61","51.02%","11.54","11722.6","28.47%","83.44%"
"2017-02-15","06","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1248","1177","1171","92.57%","41.70%","54.63%","15.88","69.86%","11.1","11758.46","46.68%","89.33%"
"2017-02-09","01","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1216","1174","1171","90.11%","37.10%","46.29%","15.05","67.42%","10.11","10313.69","44.79%","82.84%"
"2017-02-07","06","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","1203","1180","1170","96.28%","33.89%","41.15%","30.03","55.76%","16.68","18150.8","36.37%","93.19%"
"2017-02-24","10","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","1234","1172","1170","88.48%","23.47%","32.98%","21.76","51.59%","11.18","11333.34","30.54%","76.86%"
"2017-02-04","08","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","1246","1182","1169","93.24%","27.32%","33.36%","25.07","51.30%","12.93","13371.23","30.48%","89.64%"
"2017-02-01","20","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1209","1174","1169","88.22%","26.23%","38.98%","15.87","60.14%","9.55","9444.74","34.08%","76.96%"
"2017-02-07","06","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1219","1176","1169","95.57%","36.40%","44.11%","18.79","61.85%","11.59","12507.66","39.15%","92.99%"
